timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-26 10:32:37,"$68,041.99",$1.36T,$55.1B,19.99M BTC,4.32% (24h),,
2026-02-26 05:13:03,"$68,516.75",$1.36T,$56.13B,19.99M BTC,4.61% (24h),,
2026-02-26 06:07:09,"$68,347.22",$1.36T,$56.37B,19.99M BTC,4.77% (24h),,
2026-02-26 06:53:39,"$68,002.86",$1.35T,$56.26B,19.99M BTC,3.96% (24h),,
2026-02-26 08:04:12,"$68,175.93",$1.36T,$55.66B,19.99M BTC,3.04% (24h),,
2026-02-26 09:16:02,"$67,972.80",$1.35T,$53.37B,19.99M BTC,2.25% (24h),,
2026-02-26 10:10:12,"$67,375.23",$1.34T,$53.65B,19.99M BTC,0.81% (24h),,
2026-02-26 11:07:38,"$67,104.58",$1.34T,$53.3B,19.99M BTC,0.73% (24h),,
2026-02-26 12:17:06,"$66,926.82",$1.33T,$52.19B,19.99M BTC,2.4% (24h),,
2026-02-26 13:08:15,"$66,661.20",$1.33T,$50.8B,19.99M BTC,2.91% (24h),,
2026-02-26 14:10:02,"$67,541.46",$1.35T,$48.86B,19.99M BTC,2.29% (24h),,
2026-02-26 14:55:08,"$67,586.05",$1.35T,$48.69B,19.99M BTC,2.14% (24h),,
2026-02-26 15:37:45,"$67,422.02",$1.34T,$47.8B,19.99M BTC,2.44% (24h),,
2026-02-26 16:08:54,"$67,257.88",$1.34T,$47.97B,19.99M BTC,2.77% (24h),,
2026-02-26 16:47:00,"$67,455.90",$1.34T,$47B,19.99M BTC,2.39% (24h),,
2026-02-26 17:06:17,"$67,442.44",$1.34T,$45.91B,19.99M BTC,2.29% (24h),,
2026-02-26 17:52:54,"$67,563.17",$1.35T,$44.84B,19.99M BTC,0.89% (24h),,
2026-02-26 18:29:15,"$67,617.19",$1.35T,$43.86B,19.99M BTC,1.07% (24h),,
2026-02-26 18:55:45,"$67,460.02",$1.34T,$43.07B,19.99M BTC,0.73% (24h),,
2026-02-26 20:57:04,"$67,248.66",$1.34T,$41.77B,19.99M BTC,1.53% (24h),,
2026-02-26 23:14:41,"$67,930.89",$1.35T,$41.31B,19.99M BTC,0.9% (24h),,
2026-02-27 00:32:55,"$67,858.20",$1.35T,$41.85B,19.99M BTC,0.68% (24h),,
2026-02-27 01:32:10,"$67,655.63",$1.35T,$40.83B,19.99M BTC,0.79% (24h),,
2026-02-27 02:32:49,"$67,556.70",$1.35T,$41.03B,19.99M BTC,0.92% (24h),,
2026-02-27 03:07:12,"$67,853.05",$1.35T,$41.28B,19.99M BTC,0.06% (24h),,
2026-02-27 03:58:26,"$67,972.20",$1.35T,$41.01B,19.99M BTC,0% (24h),,
2026-02-27 04:48:30,"$67,482.86",$1.34T,$41.49B,19.99M BTC,1.48% (24h),,
2026-02-27 05:25:06,"$66,877.85",$1.33T,$41.58B,19.99M BTC,2.33% (24h),,
2026-02-27 06:07:17,"$66,698.84",$1.33T,$42.05B,19.99M BTC,2.4% (24h),,
2026-02-27 06:46:28,"$66,047.21",$1.32T,$42.74B,19.99M BTC,2.94% (24h),,
2026-02-27 07:04:52,"$66,087.01",$1.32T,$43.35B,19.99M BTC,2.94% (24h),,
2026-02-27 08:23:04,"$66,041.40",$1.32T,$44.66B,19.99M BTC,2.84% (24h),,
2026-02-27 09:10:48,"$66,178.06",$1.32T,$45.28B,19.99M BTC,2.32% (24h),,
2026-02-27 09:59:10,"$65,874.03",$1.31T,$44.67B,19.99M BTC,2.66% (24h),,
2026-02-27 10:43:20,"$66,035.44",$1.32T,$42.7B,19.99M BTC,1.81% (24h),,
2026-02-27 11:22:53,"$65,919.83",$1.31T,$42.77B,19.99M BTC,1.96% (24h),,
2026-02-27 12:05:24,"$65,635.93",$1.31T,$41.61B,19.99M BTC,1.88% (24h),,
2026-02-27 12:52:52,"$65,532.25",$1.31T,$41.87B,19.99M BTC,1.74% (24h),,
2026-02-27 13:42:40,"$65,632.67",$1.31T,$41.4B,19.99M BTC,2.31% (24h),,
2026-02-27 14:25:30,"$65,308.75",$1.3T,$40.5B,19.99M BTC,3.57% (24h),,
2026-02-27 14:54:47,"$65,406.01",$1.3T,$40.48B,19.99M BTC,3.16% (24h),,
2026-02-27 15:27:46,"$65,615.60",$1.31T,$40.06B,19.99M BTC,2.94% (24h),,
2026-02-27 15:55:38,"$65,615.42",$1.31T,$40.1B,19.99M BTC,2.56% (24h),,
2026-02-27 16:29:08,"$65,714.72",$1.31T,$40.04B,19.99M BTC,2.63% (24h),,
2026-02-27 16:54:22,"$65,528.24",$1.31T,$40.01B,19.99M BTC,2.93% (24h),,
2026-02-27 17:22:24,"$65,472.22",$1.3T,$39.83B,19.99M BTC,2.87% (24h),,
2026-02-27 17:52:04,"$65,599.44",$1.31T,$40.08B,19.99M BTC,2.93% (24h),,
2026-02-27 18:24:58,"$65,889.15",$1.31T,$40.33B,19.99M BTC,2.5% (24h),,
2026-02-27 18:48:37,"$65,869.84",$1.31T,$40.46B,19.99M BTC,2.39% (24h),,
2026-02-27 19:01:14,"$65,858.92",$1.31T,$40.28B,19.99M BTC,2.36% (24h),N/A,N/A
